REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,TIME_PERIOD,OBS_VALUE
GNB,Guinea-Bissau,"Life expectancy at birth, total (years)",Total,2023,64.085
GUY,Guyana,"Life expectancy at birth, total (years)",Total,2023,70.18
HTI,Haiti,"Life expectancy at birth, total (years)",Total,2023,64.936
HND,Honduras,"Life expectancy at birth, total (years)",Total,2023,72.884
HKG,"Hong Kong SAR, China","Life expectancy at birth, total (years)",Total,2023,85.24731707
HUN,Hungary,"Life expectancy at birth, total (years)",Total,2023,76.77073171
ISL,Iceland,"Life expectancy at birth, total (years)",Total,2023,82.60731707
IND,India,"Life expectancy at birth, total (years)",Total,2023,72.003
IDN,Indonesia,"Life expectancy at birth, total (years)",Total,2023,71.146
IRN,"Iran, Islamic Rep.","Life expectancy at birth, total (years)",Total,2023,77.654
IRQ,Iraq,"Life expectancy at birth, total (years)",Total,2023,72.324
IRL,Ireland,"Life expectancy at birth, total (years)",Total,2023,82.86097561
IMN,Isle of Man,"Life expectancy at birth, total (years)",Total,2023,80.999
ISR,Israel,"Life expectancy at birth, total (years)",Total,2023,83.19512195
ITA,Italy,"Life expectancy at birth, total (years)",Total,2023,83.7
JAM,Jamaica,"Life expectancy at birth, total (years)",Total,2023,71.479
JPN,Japan,"Life expectancy at birth, total (years)",Total,2023,84.04121951
JOR,Jordan,"Life expectancy at birth, total (years)",Total,2023,77.814
KAZ,Kazakhstan,"Life expectancy at birth, total (years)",Total,2023,74.402
KEN,Kenya,"Life expectancy at birth, total (years)",Total,2023,63.646
KIR,Kiribati,"Life expectancy at birth, total (years)",Total,2023,66.473
PRK,"Korea, Dem. People's Rep.","Life expectancy at birth, total (years)",Total,2023,73.642
KOR,"Korea, Rep.","Life expectancy at birth, total (years)",Total,2023,83.42926829
XKX,Kosovo,"Life expectancy at birth, total (years)",Total,2023,78.033
KWT,Kuwait,"Life expectancy at birth, total (years)",Total,2023,83.18780488
KGZ,Kyrgyz Republic,"Life expectancy at birth, total (years)",Total,2023,72.24878049
LAO,Lao PDR,"Life expectancy at birth, total (years)",Total,2023,68.964
LVA,Latvia,"Life expectancy at birth, total (years)",Total,2023,75.67804878
LBN,Lebanon,"Life expectancy at birth, total (years)",Total,2023,77.817
LSO,Lesotho,"Life expectancy at birth, total (years)",Total,2023,57.375
LBR,Liberia,"Life expectancy at birth, total (years)",Total,2023,62.163
LBY,Libya,"Life expectancy at birth, total (years)",Total,2023,69.339
LIE,Liechtenstein,"Life expectancy at birth, total (years)",Total,2023,84.84146341
LTU,Lithuania,"Life expectancy at birth, total (years)",Total,2023,76.98780488
LUX,Luxembourg,"Life expectancy at birth, total (years)",Total,2023,83.35853659
MAC,"Macao SAR, China","Life expectancy at birth, total (years)",Total,2023,83.1804878
MDG,Madagascar,"Life expectancy at birth, total (years)",Total,2023,63.632
MWI,Malawi,"Life expectancy at birth, total (years)",Total,2023,67.353
MYS,Malaysia,"Life expectancy at birth, total (years)",Total,2023,76.657
MDV,Maldives,"Life expectancy at birth, total (years)",Total,2023,81.041
MLI,Mali,"Life expectancy at birth, total (years)",Total,2023,60.439
MLT,Malta,"Life expectancy at birth, total (years)",Total,2023,83.50731707
MHL,Marshall Islands,"Life expectancy at birth, total (years)",Total,2023,66.945
MRT,Mauritania,"Life expectancy at birth, total (years)",Total,2023,68.484
MUS,Mauritius,"Life expectancy at birth, total (years)",Total,2023,73.41219512
MEX,Mexico,"Life expectancy at birth, total (years)",Total,2023,75.069
FSM,"Micronesia, Fed. Sts.","Life expectancy at birth, total (years)",Total,2023,67.198
MDA,Moldova,"Life expectancy at birth, total (years)",Total,2023,71.198
MCO,Monaco,"Life expectancy at birth, total (years)",Total,2023,86.372
MNG,Mongolia,"Life expectancy at birth, total (years)",Total,2023,72.12243902
MNE,Montenegro,"Life expectancy at birth, total (years)",Total,2023,77.58780488
MAR,Morocco,"Life expectancy at birth, total (years)",Total,2023,75.313
MOZ,Mozambique,"Life expectancy at birth, total (years)",Total,2023,63.611
MMR,Myanmar,"Life expectancy at birth, total (years)",Total,2023,66.889
NAM,Namibia,"Life expectancy at birth, total (years)",Total,2023,67.385
NRU,Nauru,"Life expectancy at birth, total (years)",Total,2023,62.109
NPL,Nepal,"Life expectancy at birth, total (years)",Total,2023,70.354
NLD,Netherlands,"Life expectancy at birth, total (years)",Total,2023,81.91463415
NCL,New Caledonia,"Life expectancy at birth, total (years)",Total,2023,78.766
NZL,New Zealand,"Life expectancy at birth, total (years)",Total,2023,83.00487805
NIC,Nicaragua,"Life expectancy at birth, total (years)",Total,2023,74.947
NER,Niger,"Life expectancy at birth, total (years)",Total,2023,61.183
NGA,Nigeria,"Life expectancy at birth, total (years)",Total,2023,54.462
MKD,North Macedonia,"Life expectancy at birth, total (years)",Total,2023,75.31609756
MNP,Northern Mariana Islands,"Life expectancy at birth, total (years)",Total,2023,78.808
NOR,Norway,"Life expectancy at birth, total (years)",Total,2023,83.11219512
OMN,Oman,"Life expectancy at birth, total (years)",Total,2023,80.031
PAK,Pakistan,"Life expectancy at birth, total (years)",Total,2023,67.649
PLW,Palau,"Life expectancy at birth, total (years)",Total,2023,69.269
PAN,Panama,"Life expectancy at birth, total (years)",Total,2023,79.594
PNG,Papua New Guinea,"Life expectancy at birth, total (years)",Total,2023,66.134
PRY,Paraguay,"Life expectancy at birth, total (years)",Total,2023,73.844
PER,Peru,"Life expectancy at birth, total (years)",Total,2023,77.74
PHL,Philippines,"Life expectancy at birth, total (years)",Total,2023,69.833
POL,Poland,"Life expectancy at birth, total (years)",Total,2023,78.50731707
PRT,Portugal,"Life expectancy at birth, total (years)",Total,2023,82.2804878
PRI,Puerto Rico,"Life expectancy at birth, total (years)",Total,2023,81.69
